,Methode,Number of queries,Gap,Times
0,1.0,18.0,-1.9174004022319337e-14,163.2409451007843
1,2.0,23.0,8.697677159142152,11.76474404335022
2,1.0,20.0,1.8962341550982335e-14,181.02299165725708
3,2.0,15.0,9.503807933574317,6.773241758346558
4,1.0,20.0,0.0,143.73541903495789
5,2.0,14.0,9.326782821029685,6.442709684371948
6,1.0,20.0,0.0,182.02960419654846
7,2.0,22.0,9.296010459588706,10.96847677230835
8,1.0,17.0,0.0,160.71698379516602
9,2.0,18.0,8.477188744863357,8.723541975021362
10,1.0,17.0,0.0,158.02116012573242
11,2.0,16.0,8.953367604593192,8.296425104141235
12,1.0,15.0,0.0,135.22033095359802
13,2.0,14.0,8.789367019639398,6.532564878463745
14,1.0,20.0,0.0,169.0105938911438
15,2.0,15.0,9.675585213437053,6.96459698677063
16,1.0,20.0,0.0,180.85747814178467
17,2.0,15.0,9.439065603760323,6.807586193084717
18,1.0,20.0,1.8924921663079205e-14,221.1149890422821
19,2.0,15.0,9.636069399613863,6.842339038848877
20,1.0,20.0,-1.8765899471300955e-14,142.04368686676025
21,2.0,11.0,9.967257862471218,4.814907789230347
22,1.0,21.0,-1.913994826866171e-14,206.68526577949524
23,2.0,14.0,9.077274428104456,6.523561954498291
24,1.0,20.0,0.0,192.20706176757812
25,2.0,14.0,8.785596521630696,6.653196096420288
26,1.0,20.0,0.0,168.7780110836029
27,2.0,15.0,9.681835201967527,7.086286783218384
28,1.0,12.0,0.0,103.60600090026855
29,2.0,14.0,8.84482352397139,6.543111324310303
30,1.0,20.0,0.0,187.3848419189453
31,2.0,16.0,9.651311371184006,7.736163139343262
32,1.0,20.0,0.0,184.29289984703064
33,2.0,15.0,9.813521355796233,6.891658067703247
34,1.0,20.0,1.9003425186306968e-14,188.2092022895813
35,2.0,14.0,9.53443930992793,7.617799997329712
36,1.0,17.0,0.0,119.79982018470764
37,2.0,24.0,8.86959096395132,12.185509204864502
38,1.0,17.0,0.0,119.41561913490295
39,2.0,16.0,9.005882579875218,8.286205053329468
