,Methode,Number of queries,Gap,Times
0,1.0,0.0,-2.5846321254250335e-14,0.03454899787902832
1,2.0,1.0,8.560836440356244,0.1019740104675293
2,1.0,1.0,1.3578952087205015e-14,0.0874779224395752
3,2.0,1.0,5.7566776742328125,0.10116767883300781
4,1.0,1.0,1.3124192368656557e-14,0.0728456974029541
5,2.0,1.0,7.7199266576075525,0.1029508113861084
6,1.0,0.0,0.6514861051726057,0.03393101692199707
7,2.0,1.0,4.543343285291696,0.10286808013916016
8,1.0,1.0,-1.3878888014637309e-14,0.07778000831604004
9,2.0,1.0,4.583696118188266,0.10582900047302246
10,1.0,0.0,0.0,0.05070829391479492
11,2.0,1.0,5.428929405621587,0.1047511100769043
12,1.0,0.0,1.2887552919524458e-14,0.03524494171142578
13,2.0,1.0,8.744289186938092,0.10384702682495117
14,1.0,0.0,-1.272052651973341e-14,0.03568577766418457
15,2.0,1.0,9.328461208142942,0.10275602340698242
16,1.0,0.0,0.0,0.03229784965515137
17,2.0,1.0,6.052346113907713,0.10156106948852539
18,1.0,0.0,0.0,0.036228179931640625
19,2.0,1.0,7.288889850939976,0.10094118118286133
20,1.0,0.0,0.0,0.03435373306274414
21,2.0,1.0,8.842468115453473,0.10387992858886719
22,1.0,1.0,-1.3076976328255836e-14,0.07676005363464355
23,2.0,1.0,8.059647389424942,0.15164804458618164
24,1.0,0.0,1.31912839901337e-14,0.05009603500366211
25,2.0,1.0,7.428377101506557,0.13354110717773438
26,1.0,0.0,0.0,0.033373117446899414
27,2.0,1.0,7.720835350178697,0.10234808921813965
28,1.0,1.0,2.654908248233581e-14,0.07254672050476074
29,2.0,1.0,7.2108822854637795,0.10193419456481934
30,1.0,0.0,-1.3584559177155232e-14,0.03390908241271973
31,2.0,1.0,5.868439818942971,0.1022341251373291
32,1.0,1.0,0.0,0.07567596435546875
33,2.0,1.0,7.717617221914739,0.10378074645996094
34,1.0,1.0,-1.3435990271160493e-14,0.07461929321289062
35,2.0,1.0,6.428091897517915,0.10340595245361328
36,1.0,1.0,0.0,0.08456707000732422
37,2.0,1.0,8.894920125846712,0.10142278671264648
38,1.0,0.0,-1.31875505026533e-14,0.0421900749206543
39,2.0,1.0,7.730713295731389,0.10410499572753906
