,Methode,Number of queries,Gap,Times
0,1.0,7.0,0.0,55.79470729827881
1,2.0,14.0,6.869081052441625,5.623607873916626
2,1.0,13.0,0.0,101.49025583267212
3,2.0,14.0,9.346930661562114,6.4287731647491455
4,1.0,5.0,5.2252898299616876e-14,43.714149713516235
5,2.0,12.0,5.55916782873453,5.6233110427856445
6,1.0,6.0,0.0,50.889811992645264
7,2.0,16.0,4.5872397875537185,4.877179861068726
8,1.0,7.0,0.0,63.36331486701965
9,2.0,12.0,7.277829773320979,5.752976894378662
10,1.0,8.0,-1.890411621476163e-14,50.90975499153137
11,2.0,9.0,8.951275693522787,4.295313119888306
12,1.0,4.0,1.85336410993273e-14,39.75113105773926
13,2.0,12.0,7.492247123943016,5.305186033248901
14,1.0,9.0,-1.805650042415584e-14,70.43510580062866
15,2.0,19.0,8.176834602694083,7.86979603767395
16,1.0,13.0,1.87328317366068e-14,104.927316904068
17,2.0,5.0,9.824124833904358,1.8665971755981445
18,1.0,12.0,0.0,94.97991514205933
19,2.0,10.0,8.319786279214942,4.500617027282715
20,1.0,13.0,0.0,102.06295895576477
21,2.0,12.0,8.39538385938214,5.419116973876953
22,1.0,6.0,-1.8389827022344473e-14,268.8522918224335
23,2.0,13.0,6.430771008947331,4.354305982589722
24,1.0,9.0,1.810937972310978e-14,54.93234205245972
25,2.0,16.0,8.422097376529306,7.37614369392395
26,1.0,8.0,0.0,65.36270093917847
27,2.0,7.0,9.385620401230957,3.4971559047698975
28,1.0,5.0,1.7614126569524336e-14,40.18004775047302
29,2.0,10.0,5.577385474577726,5.152694940567017
30,1.0,13.0,1.8879903610254888e-14,103.96393895149231
31,2.0,14.0,8.09849781540698,6.1126549243927
32,1.0,5.0,0.0,43.669870138168335
33,2.0,10.0,6.570147169835115,5.6385791301727295
34,1.0,13.0,3.69394150629307e-14,77.63207030296326
35,2.0,12.0,8.807841703049677,5.410393953323364
36,1.0,7.0,1.8602731596469347e-14,47.91880226135254
37,2.0,17.0,7.119909867351615,7.183046102523804
38,1.0,4.0,1.788728438966439e-14,38.782509088516235
39,2.0,10.0,7.347199477547357,5.101208209991455
